,LINK,TITLE,SIZE(Größe),Temper,Color(Farbe),PRICE,Availability
0,https://www.moebelfreude.de/bett/boxspringbett-bea-anthrazit-90-x-200-cm-h2,Boxspringbett Bea 90x200 cm Anthrazit H2 mit Visco-Topper,90x200cm,H2,Anthrazit,"749,00 €",Y
1,https://www.moebelfreude.de/bett/boxspringbett-bea-anthrazit-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Anthrazit H3 mit Visco-Topper,90x200cm,H3,Anthrazit,"749,00 €",Y
2,https://www.moebelfreude.de/bett/boxspringbett-bea-anthrazit-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Anthrazit H3 mit Visco-Topper,90x200cm,H2/H3,Anthrazit,"749,00 €",N
3,https://www.moebelfreude.de/bett/boxspringbett-bea-hellgrau-90-x-200-cm-h2,Boxspringbett Bea 90x200 cm Hellgrau H2 mit Visco-Topper,90x200cm,H2,Hellgrau,"749,00 €",Y
4,https://www.moebelfreude.de/bett/boxspringbett-bea-hellgrau-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Hellgrau H3 mit Visco-Topper,90x200cm,H3,Hellgrau,"749,00 €",Y
5,https://www.moebelfreude.de/bett/boxspringbett-bea-hellgrau-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Hellgrau H3 mit Visco-Topper,90x200cm,H2/H3,Hellgrau,"749,00 €",N
6,https://www.moebelfreude.de/bett/boxspringbett-bea-beige-grau-90-x-200-cm-h2,Boxspringbett Bea 90x200 cm Beige/Grau H2 mit Visco-Topper,90x200cm,H2,Beige/grau,"749,00 €",Y
7,https://www.moebelfreude.de/bett/boxspringbett-bea-beige-grau-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Beige/Grau H3 mit Visco-Topper,90x200cm,H3,Beige/grau,"749,00 €",Y
8,https://www.moebelfreude.de/bett/boxspringbett-bea-beige-grau-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Beige/Grau H3 mit Visco-Topper,90x200cm,H2/H3,Beige/grau,"749,00 €",N
9,https://www.moebelfreude.de/bett/boxspringbett-bea-beige-grau-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Beige/Grau H3 mit Visco-Topper,90x200cm,H2,Midnight,"749,00 €",N
10,https://www.moebelfreude.de/bett/boxspringbett-bea-beige-grau-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Beige/Grau H3 mit Visco-Topper,90x200cm,H3,Midnight,"749,00 €",N
11,https://www.moebelfreude.de/bett/boxspringbett-bea-beige-grau-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Beige/Grau H3 mit Visco-Topper,90x200cm,H2/H3,Midnight,"749,00 €",N
12,https://www.moebelfreude.de/bett/boxspringbett-bea-beige-grau-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Beige/Grau H3 mit Visco-Topper,90x200cm,H2,Schwarz,"749,00 €",N
13,https://www.moebelfreude.de/bett/boxspringbett-bea-beige-grau-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Beige/Grau H3 mit Visco-Topper,90x200cm,H3,Schwarz,"749,00 €",N
14,https://www.moebelfreude.de/bett/boxspringbett-bea-beige-grau-90-x-200-cm-h3,Boxspringbett Bea 90x200 cm Beige/Grau H3 mit Visco-Topper,90x200cm,H2/H3,Schwarz,"749,00 €",N
15,https://www.moebelfreude.de/bett/boxspringbett-bea-anthrazit-100-x-200-cm-h2,Boxspringbett Bea 100x200 cm Anthrazit H2 mit Visco-Topper,90x200cm,H2,Anthrazit,"799,00 €",Y
16,https://www.moebelfreude.de/bett/boxspringbett-bea-anthrazit-100-x-200-cm-h3,Boxspringbett Bea 100x200 cm Anthrazit H3 mit Visco-Topper,90x200cm,H3,Anthrazit,"799,00 €",Y
17,https://www.moebelfreude.de/bett/boxspringbett-bea-anthrazit-100-x-200-cm-h3,Boxspringbett Bea 100x200 cm Anthrazit H3 mit Visco-Topper,90x200cm,H2/H3,Anthrazit,"799,00 €",N
18,https://www.moebelfreude.de/bett/boxspringbett-bea-hellgrau-100-x-200-cm-h2,Boxspringbett Bea 100x200 cm Hellgrau H2 mit Visco-Topper,90x200cm,H2,Hellgrau,"799,00 €",Y
19,https://www.moebelfreude.de/bett/boxspringbett-bea-hellgrau-100-x-200-cm-h3,Boxspringbett Bea 100x200 cm Hellgrau H3 mit Visco-Topper,90x200cm,H3,Hellgrau,"799,00 €",Y
20,https://www.moebelfreude.de/bett/boxspringbett-bea-hellgrau-100-x-200-cm-h3,Boxspringbett Bea 100x200 cm Hellgrau H3 mit Visco-Topper,90x200cm,H2/H3,Hellgrau,"799,00 €",N
21,https://www.moebelfreude.de/bett/boxspringbett-bea-beige-grau-100-x-200-cm-h2,Boxspringbett Bea 100x200 cm Beige/Grau H2 mit Visco-Topper,90x200cm,H2,Beige/grau,"799,00 €",Y
